|appid|game|developer|publisher|positive|negative|average_forever|average_2weeks|median_forever|median_2weeks|ccu|genre|tags
0|570|Dota 2|Valve|Valve|1517082|312807|39083|1619|985|1108|592910|Action, Free to Play, Strategy|"{""Free to Play"":58623,""MOBA"":19529,""Multiplayer"":14746,""Strategy"":13758,""e-sports"":11212,""Team-Based"":10554,""Competitive"":7920,""Action"":7658,""Online Co-Op"":7158,""PvP"":5709,""Difficult"":5026,""Co-op"":4040,""RTS"":3888,""Tower Defense"":3569,""RPG"":3554,""Fantasy"":3550,""Character Customization"":2746,""Replay Value"":2626,""Action RPG"":2311,""Simulation"":1817}"
1|730|Counter-Strike: Global Offensive|Valve, Hidden Path Entertainment|Valve|5909200|783443|29851|790|6396|283|697343|Action, Free to Play|"{""FPS"":88083,""Shooter"":63308,""Multiplayer"":60425,""Competitive"":51762,""Action"":46272,""Team-Based"":45178,""e-sports"":42152,""Tactical"":40267,""First-Person"":38280,""PvP"":33392,""Online Co-Op"":33068,""Co-op"":29479,""Strategy"":29355,""Military"":27996,""War"":27394,""Difficult"":25438,""Trading"":25010,""Realistic"":24851,""Fast-Paced"":24798,""Moddable"":6091}"
2|578080|PUBG: BATTLEGROUNDS|KRAFTON, Inc.|KRAFTON, Inc.|1179529|906025|21562|630|6399|191|284373|Action, Adventure, Free to Play, Massively Multiplayer|"{""Survival"":14137,""Shooter"":11933,""Multiplayer"":10243,""Battle Royale"":10172,""FPS"":7837,""PvP"":7361,""Third-Person Shooter"":6904,""Action"":5718,""Online Co-Op"":5067,""Tactical"":4776,""Co-op"":4063,""First-Person"":3822,""Strategy"":2935,""Early Access"":2734,""Competitive"":2203,""Third Person"":2165,""Team-Based"":1889,""Difficult"":1593,""Simulation"":1231,""Stealth"":1150}"
3|1063730|New World|Amazon Games|Amazon Games|160027|74454|8411|696|3523|178|33977|Action, Adventure, Massively Multiplayer, RPG|"{""Massively Multiplayer"":590,""Open World"":564,""MMORPG"":547,""RPG"":487,""Adventure"":465,""Action"":407,""PvP"":360,""PvE"":346,""Multiplayer"":278,""Walking Simulator"":263,""Fantasy"":253,""Character Customization"":233,""Crafting"":207,""Third Person"":194,""Co-op"":154,""Open World Survival Craft"":143,""Sandbox"":131,""Violent"":124,""Sexual Content"":92,""Souls-like"":76}"
4|440|Team Fortress 2|Valve|Valve|842501|57263|10190|1272|391|207|109826|Action, Free to Play|"{""Free to Play"":61655,""Hero Shooter"":60603,""Multiplayer"":21962,""FPS"":14808,""Shooter"":12079,""Action"":11570,""Class-Based"":9173,""Team-Based"":8805,""Funny"":8636,""First-Person"":7401,""Online Co-Op"":6883,""Competitive"":6731,""Cartoony"":6721,""Trading"":6499,""Co-op"":5450,""Comedy"":4897,""Robots"":4383,""Tactical"":3733,""Cartoon"":3654,""Crafting"":3470}"
5|304930|Unturned|Smartly Dressed Games|Smartly Dressed Games|450091|41961|6077|2670|276|493|59223|Action, Adventure, Casual, Free to Play, Indie|"{""Free to Play"":36374,""Survival"":16047,""Zombies"":14967,""Open World Survival Craft"":14635,""Multiplayer"":14152,""Open World"":12590,""Adventure"":9471,""Crafting"":9096,""Action"":8012,""First-Person"":7735,""Co-op"":7437,""Sandbox"":6894,""Shooter"":6659,""Post-apocalyptic"":6507,""FPS"":5864,""Singleplayer"":5503,""Massively Multiplayer"":4450,""Indie"":4202,""Casual"":3760,""Atmospheric"":3717}"
6|105600|Terraria|Re-Logic|Re-Logic|1002667|22035|6875|626|2043|221|63961|Action, Adventure, Indie, RPG|"{""Open World Survival Craft"":14979,""Sandbox"":14755,""Survival"":11535,""2D"":11212,""Multiplayer"":11039,""Adventure"":10603,""Crafting"":9728,""Pixel Graphics"":9586,""Building"":9180,""Exploration"":8024,""Co-op"":6996,""Open World"":6788,""Indie"":5400,""Online Co-Op"":5369,""Action"":5127,""RPG"":4680,""Singleplayer"":4588,""Replay Value"":3801,""Platformer"":3644,""Atmospheric"":3140}"
7|550|Left 4 Dead 2|Valve|Valve|639506|16677|2526|183|552|132|15917|Action|"{""Zombies"":20523,""Co-op"":10813,""FPS"":9611,""Multiplayer"":8861,""Shooter"":6727,""Action"":6419,""Online Co-Op"":6378,""Survival"":5359,""Horror"":5016,""First-Person"":4302,""Gore"":3982,""Team-Based"":3376,""Survival Horror"":2786,""Moddable"":2781,""Post-apocalyptic"":2701,""Singleplayer"":2209,""Adventure"":2042,""Local Co-Op"":1949,""Replay Value"":1923,""Tactical"":1870}"
8|230410|Warframe|Digital Extremes|Digital Extremes|447539|67502|9312|814|403|287|37810|Action, Free to Play, RPG|"{""Free to Play"":15087,""Action RPG"":14741,""Looter Shooter"":14646,""Action"":14634,""RPG"":14634,""Third-Person Shooter"":14626,""Third Person"":14582,""Character Customization"":7606,""Massively Multiplayer"":7493,""Online Co-Op"":7492,""Co-op"":7462,""Lore-Rich"":7460,""Sci-fi"":7443,""PvE"":7442,""Singleplayer"":7438,""Space"":7431,""Shooter"":7421,""Parkour"":7417,""Ninja"":7417,""Hack and Slash"":7416}"
9|252490|Rust|Facepunch Studios|Facepunch Studios|726291|111270|21654|1214|3175|474|88262|Action, Adventure, Indie, Massively Multiplayer, RPG|"{""Survival"":16581,""Crafting"":10476,""Multiplayer"":10315,""Open World"":9798,""Open World Survival Craft"":7592,""Building"":7262,""PvP"":6591,""Sandbox"":6580,""Adventure"":5281,""First-Person"":4577,""Action"":4298,""FPS"":4082,""Nudity"":4020,""Co-op"":3268,""Shooter"":3249,""Online Co-Op"":3202,""Indie"":2878,""Early Access"":2772,""Post-apocalyptic"":2548,""Simulation"":2245}"
